Rank,Name,Team,2024 Finish
1,Habtom Samuel,New Mexico,2
2,Brian Musau,Oklahoma State,5
3,Denis Kipngetich,Oklahoma State,11
4,Valentin Soca,CBU,33
5,Gary Martin,Virginia,13
6,Ernest Cheruiyot,Texas Tech,131
7,Solomon Kipchoge,Washington State,DNF
8,Rocky Hansen,Wake Forest,100
9,Evans Kurui,Washington State,36
10,Robin Kwemoi Bera,Iowa State,37
11,Dismus Lokira,Alabama,41
12,George Couttie,Virginia Tech,14
13,Joash Ruto,Iowa State,34
14,William Zegarski,Butler,17
15,Collins Kiprotich,New Mexico,35
16,Rodgers Kiplimo,Iowa State,DNR
17,Justine Kipkoech,EKU,DNF
18,Geoffrey Kirwa,Louisville,146
19,Allan Kiplagat,Middle Tennessee State,40
20,Dean Casey,Colorado,30
21,Fouad Messaoudi,Oklahoma State,222
22,Colton Sands,North Carolina,52
23,James Corrigan,BYU,62
24,JoJo Jourdon,Wake Forest,47
25,Charlie Sprott,Wake Forest,32
26,Zouhair Redouane,Tennessee,26
27,Dylan Throop,Notre Dame,27
28,Sam Lawler,Syracuse,28
29,Simeon Birnbaum,Oregon,74
30,Lex Young,Stanford,63
31,Ethan Coleman,Notre Dame,46
32,Ben Shearer,Arkansas,55
33,Thomas Boyden,BYU,218
34,Timothy Chesondin,Arkansas,136
35,Davin Thompson,BYU,50
36,Aiden Smith,Oregon,29
37,Sanele Masondo,Iowa State,23
38,Evans Kiplagat,New Mexico,40
39,Dennis Kipruto,Alabama,75
40,Shane Brosnan,Harvard,57
41,Will Anthony,Virginia,109
42,Bailey Habler,Villanova,125
43,Josphat Meli,Washington State,DNR
44,Joseph O'Brien,Wake Forest,56
45,Bernard Cheruiyot,Tulane,85
46,Matthew Kosgei,New Mexico,DNR
47,Douglas Buckeridge,Purdue,43
48,Evans Tanui,Arizona,DNR
49,Luke Tewalt,Oregon,61
50,Izaiah Steury,Notre Dame,24
NR,Terrance Allen,Air Force,
NR,Ethan Ashley,Air Force,
NR,Zachary Ayers,Air Force,
NR,Benjamin Davenport,Air Force,
NR,Matthew Edwards,Air Force,
NR,Patrick Lawson,Air Force,
NR,Tanner Lindahl,Air Force,
NR,Brenton Maddox,Air Force,
NR,Jayden Nats,Air Force,
NR,Alexander Pinckney,Air Force,
NR,Joshua Razo,Air Force,
NR,Dominykas Remeikis,Air Force,
NR,Saketh Rudraraju,Air Force,
NR,David Sliwinski,Air Force,
NR,Bismack Kipchirchir,Akron,
NR,Titus Kirui,Akron,
NR,Carson Burian,Alabama,
NR,Kai Connor,Alabama,
NR,Jackson Harris,Alabama,
NR,Jackson Hogsed,Alabama,
NR,Timothy Kibet,Alabama,
NR,Nelson Pariken,Alabama,
NR,Ezekiel Pitireng,Alabama,
NR,Evan Simpson,Alabama,
NR,Evan Trapp,Alabama,
NR,Donovan Bitticks,Arkansas,
NR,Owan Logorodi,Arkansas,
NR,Brian Masai,Arkansas,
NR,James Sankei,Arkansas,
NR,Eli Seavey,Arkansas,
NR,Dawson Welch,Arkansas,
NR,Jack Williams,Arkansas,
NR,Nickson Chebii,Auburn,
NR,Meshack Kuyo,Boise State,
NR,Alex Thompson,Boise State,
NR,Jayde Rosslee,Bradley,
NR,Matthew Forrester,Butler,
NR,Eli Fullerton,Butler,
NR,Austin Gabay,Butler,
NR,Kyle Grove,Butler,
NR,Jesse Hamlin,Butler,
NR,Charlie Jones,Butler,
NR,Asher Propst,Butler,
NR,Matteo Rosio,Butler,
NR,David Slapak,Butler,
NR,Brendan Thomas,Butler,
NR,Carter Cutting,BYU,
NR,Max Davis,BYU,
NR,Luke Grundvig,BYU,
